"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 25, 2021","44,912.94","49,121.24","49,121.24","44,912.94","0.25K","-8.57%"
"Jun 24, 2021","49,121.24","47,846.83","49,121.24","47,846.83","0.07K","2.66%"
"Jun 23, 2021","47,846.83","46,232.86","47,846.83","46,232.86","0.22K","3.49%"
"Jun 22, 2021","46,232.86","45,576.35","46,232.86","45,576.35","0.42K","1.44%"
"Jun 21, 2021","45,576.35","51,271.49","51,271.49","45,576.35","0.26K","-11.11%"
"Jun 20, 2021","51,271.49","51,446.69","51,446.69","51,271.49","0.28K","-0.34%"
"Jun 19, 2021","51,446.69","51,778.37","51,778.37","51,446.69","0.09K","-0.64%"
"Jun 18, 2021","51,778.37","54,389.85","54,389.85","51,778.37","0.34K","-4.80%"
"Jun 17, 2021","54,389.85","54,296.12","55,831.13","54,296.12","0.12K","0.17%"
"Jun 16, 2021","54,296.12","56,609.30","56,609.30","54,296.12","0.09K","-4.09%"
"Jun 15, 2021","56,609.30","56,753.06","56,753.06","56,216.88","0.09K","-0.25%"
"Jun 14, 2021","56,753.06","54,583.11","56,753.06","54,583.11","0.14K","3.98%"
"Jun 13, 2021","54,583.11","49,886.58","54,583.11","49,886.58","0.09K","9.41%"
"Jun 12, 2021","49,886.58","52,304.23","52,304.23","49,886.58","0.19K","-4.62%"
"Jun 11, 2021","52,304.23","51,087.74","52,304.23","51,087.74","0.13K","2.38%"
"Jun 10, 2021","51,087.74","52,284.24","52,284.24","49,891.51","0.13K","-2.29%"
"Jun 09, 2021","52,284.24","46,616.01","52,284.24","46,616.01","0.20K","12.16%"
"Jun 08, 2021","46,616.01","46,580.60","46,616.01","46,580.60","0.30K","0.03%"
"Jun 07, 2021","46,600.93","49,792.18","49,792.18","46,600.93","0.29K","-6.41%"
"Jun 06, 2021","49,792.18","49,571.74","49,792.18","49,571.74","0.07K","0.44%"
"Jun 05, 2021","49,571.74","51,165.95","51,165.95","49,571.74","0.17K","-3.12%"
"Jun 04, 2021","51,165.95","54,942.64","54,942.64","51,165.95","0.13K","-6.87%"
"Jun 03, 2021","54,942.64","52,077.22","54,942.64","52,077.22","0.12K","5.50%"
"Jun 02, 2021","52,077.22","50,673.24","52,077.22","50,673.24","0.07K","2.77%"
"Jun 01, 2021","50,673.24","51,279.61","51,279.61","50,673.24","0.11K","-1.18%"
"May 31, 2021","51,279.61","49,345.96","51,279.61","48,196.69","0.12K","3.92%"
"May 30, 2021","49,345.96","47,799.10","49,345.96","47,799.10","0.12K","3.24%"
"May 29, 2021","47,799.10","49,412.60","49,412.60","47,799.10","0.17K","-3.27%"
"May 28, 2021","49,412.60","52,834.21","52,834.21","49,412.60","0.21K","-6.62%"
"May 27, 2021","52,917.84","54,200.01","54,341.92","52,917.84","0.12K","-2.37%"
"May 26, 2021","54,200.01","53,577.19","54,200.01","53,577.19","0.20K","1.16%"
"May 25, 2021","53,577.19","53,914.09","53,914.09","53,577.19","0.24K","-0.62%"
"May 24, 2021","53,914.09","48,720.66","53,914.09","48,720.66","0.32K","10.66%"
"May 23, 2021","48,720.66","52,448.69","52,448.69","48,114.30","0.52K","-7.11%"
"May 22, 2021","52,448.69","52,345.31","52,448.69","52,345.31","0.26K","0.20%"
"May 21, 2021","52,345.31","56,893.54","56,893.54","52,345.31","0.50K","-7.99%"
"May 20, 2021","56,893.54","51,727.44","56,893.54","51,727.44","0.64K","10.22%"
"May 19, 2021","51,617.72","59,453.35","59,453.35","51,617.72","0.95K","-13.09%"
"May 18, 2021","59,388.80","60,630.99","60,630.99","59,388.80","0.28K","-2.05%"
"May 17, 2021","60,630.99","64,535.73","64,535.73","60,630.99","0.48K","-6.05%"
"May 16, 2021","64,535.74","64,802.21","67,379.87","64,535.74","0.26K","-0.41%"
"May 15, 2021","64,802.21","68,948.79","68,948.79","64,802.21","0.13K","-6.01%"
"May 14, 2021","68,948.79","69,514.88","69,514.88","68,948.79","0.16K","-0.81%"
"May 13, 2021","69,514.88","69,628.66","71,080.84","69,514.88","0.49K","-0.16%"
"May 12, 2021","69,628.66","78,509.26","79,246.92","69,628.66","0.20K","-11.31%"
"May 11, 2021","78,509.26","77,229.06","78,509.26","76,104.35","0.19K","1.66%"
"May 10, 2021","77,229.06","80,608.64","80,608.64","77,229.06","0.19K","-4.19%"
"May 09, 2021","80,608.64","81,356.86","81,356.86","79,890.62","0.17K","-0.92%"
"May 08, 2021","81,356.86","79,209.85","81,356.86","79,209.85","0.19K","2.70%"
"May 07, 2021","79,220.63","78,298.86","79,220.63","78,298.86","0.09K","1.18%"
"May 06, 2021","78,298.86","79,719.07","79,719.07","78,298.86","0.11K","-1.78%"
"May 05, 2021","79,719.07","74,891.49","79,719.07","74,891.49","0.19K","6.45%"
"May 04, 2021","74,891.49","79,829.64","79,829.64","74,891.49","0.26K","-6.19%"
"May 03, 2021","79,829.64","79,064.48","79,829.64","79,064.48","0.16K","0.97%"
"May 02, 2021","79,064.48","80,873.80","80,873.80","79,064.48","0.08K","-2.24%"
"May 01, 2021","80,873.80","80,991.32","80,991.32","80,873.80","0.09K","-0.15%"
"Apr 30, 2021","80,991.32","73,908.21","80,991.32","73,908.21","0.12K","9.58%"
